"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"References.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2014-02-27 13:59:48 IST"	"24064"	"5019271"	"8f0e0bfba6d53d65e2275797573a036e"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Resume/References.doc"
"References.doc-slack"	".doc-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2014-02-27 13:59:48 IST"	"512"	"5019271"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Resume/References.doc-slack"
"desktop.ini"	".ini"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2014-02-27 01:50:46 IST"	"282"	"5020165"	"3a37312509712d4e12d27240137ff377"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Downloads/desktop.ini"
"desktop.ini-slack"	".ini-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2014-02-27 01:50:46 IST"	"3814"	"5020165"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Downloads/desktop.ini-slack"
"Untitled-1.docx"	".docx"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2015-10-10 16:07:08 IST"	"156638"	"5020168"	"cb904aac743b25a17fe105657c52cff7"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Untitled-1.docx"
"Untitled-1.docx-slack"	".docx-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:48 IST"	"2015-10-10 16:07:08 IST"	"3106"	"5020168"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Untitled-1.docx-slack"
"Untitled-2.docx"	".docx"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:49 IST"	"2015-10-10 16:07:32 IST"	"175694"	"5020171"	"0a2297eb432cd1def08c5d75dd1d46ec"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Untitled-2.docx"
"Untitled-2.docx-slack"	".docx-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:49 IST"	"2015-10-10 16:07:32 IST"	"434"	"5020171"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Untitled-2.docx-slack"
"Workbook1.xlsx"	".xlsx"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:49 IST"	"2015-10-10 16:09:24 IST"	"26526"	"5020174"	"a9f13ef68cd8e8f22d0e4a68cfd23818"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Workbook1.xlsx"
"Workbook1.xlsx-slack"	".xlsx-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:49 IST"	"2015-10-10 16:09:24 IST"	"2146"	"5020174"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Downloads/Workbook1.xlsx-slack"
